Id,code_module_x,code_presentation_x_x,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,final_result,score,code_module_y,code_presentation_y_y
1,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,Withdrawn,66,AAA,2013J
2,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,Withdrawn,66,AAA,2014J
3,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,Fail,66,AAA,2013J
4,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,Fail,66,AAA,2014J
5,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,Withdrawn,74,AAA,2013J
6,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,Withdrawn,74,AAA,2014J
7,AAA,2014J,M,South Region,Lower Than A Level,70-80%,35-55,1,60,Pass,74,AAA,2013J
8,AAA,2014J,M,South Region,Lower Than A Level,70-80%,35-55,1,60,Pass,74,AAA,2014J
9,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,Withdrawn,67,AAA,2013J
10,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,Withdrawn,67,AAA,2014J
11,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,Withdrawn,85,AAA,2013J
12,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,Withdrawn,85,AAA,2014J
13,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,Withdrawn,85,AAA,2013J
14,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,Withdrawn,85,AAA,2014J
15,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,Withdrawn,85,AAA,2013J
16,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,Withdrawn,85,AAA,2014J
17,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,Withdrawn,85,AAA,2013J
18,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,Withdrawn,85,AAA,2014J
19,AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Withdrawn,72,AAA,2013J
20,AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Withdrawn,72,AAA,2014J
21,AAA,2014J,F,South East Region,Lower Than A Level,90-100%,35-55,1,60,Pass,72,AAA,2013J
22,AAA,2014J,F,South East Region,Lower Than A Level,90-100%,35-55,1,60,Pass,72,AAA,2014J
23,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,Withdrawn,45,AAA,2013J
24,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,Withdrawn,45,AAA,2014J
25,AAA,2014J,M,South West Region,A Level or Equivalent,90-100%,0-35,1,210,Pass,45,AAA,2013J
26,AAA,2014J,M,South West Region,A Level or Equivalent,90-100%,0-35,1,210,Pass,45,AAA,2014J
27,AAA,2013J,F,North Region,Lower Than A Level,80-90%,0-35,0,90,Withdrawn,52,AAA,2013J
28,AAA,2013J,F,North Region,Lower Than A Level,80-90%,0-35,0,90,Withdrawn,52,AAA,2014J
29,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Withdrawn,68,AAA,2013J
30,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Withdrawn,68,AAA,2014J
31,AAA,2014J,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,Pass,68,AAA,2013J
32,AAA,2014J,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,Pass,68,AAA,2014J
33,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,Withdrawn,85,AAA,2013J
34,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,Withdrawn,85,AAA,2014J
35,AAA,2014J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,Pass,85,AAA,2013J
36,AAA,2014J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,Pass,85,AAA,2014J
37,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,Withdrawn,65,AAA,2013J
38,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,Withdrawn,65,AAA,2014J
39,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,Withdrawn,65,AAA,2013J
40,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,Withdrawn,65,AAA,2014J
41,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,Withdrawn,65,AAA,2013J
42,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,Withdrawn,65,AAA,2014J
43,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,Withdrawn,65,AAA,2013J
44,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,Withdrawn,65,AAA,2014J
45,AAA,2013J,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,Withdrawn,76,AAA,2013J
46,AAA,2013J,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,Withdrawn,76,AAA,2014J
47,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,Withdrawn,76,AAA,2013J
48,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,Withdrawn,76,AAA,2014J
49,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,1,60,Pass,76,AAA,2013J
50,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,1,60,Pass,76,AAA,2014J
51,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,Withdrawn,68,AAA,2013J
52,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,Withdrawn,68,AAA,2014J
53,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,Withdrawn,65,AAA,2013J
54,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,Withdrawn,65,AAA,2014J
55,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,1,180,Pass,65,AAA,2013J
56,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,1,180,Pass,65,AAA,2014J
57,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,Withdrawn,55,AAA,2013J
58,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,Withdrawn,55,AAA,2014J
59,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,Withdrawn,55,AAA,2013J
60,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,Withdrawn,55,AAA,2014J
61,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,Withdrawn,55,AAA,2013J
62,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,Withdrawn,55,AAA,2014J
63,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,Withdrawn,55,AAA,2013J
64,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,Withdrawn,55,AAA,2014J
65,AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,Withdrawn,51,AAA,2013J
66,AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,Withdrawn,51,AAA,2014J
67,AAA,2014J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,1,120,Fail,51,AAA,2013J
68,AAA,2014J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,1,120,Fail,51,AAA,2014J
69,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,Withdrawn,70,AAA,2013J
70,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,Withdrawn,70,AAA,2014J
71,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,Withdrawn,70,AAA,2013J
72,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,Withdrawn,70,AAA,2014J
73,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,Withdrawn,70,AAA,2013J
74,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,Withdrawn,70,AAA,2014J
75,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,Withdrawn,70,AAA,2013J
76,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,Withdrawn,70,AAA,2014J
77,AAA,2013J,F,South Region,HE Qualification,90-100%,35-55,0,60,Withdrawn,84,AAA,2013J
78,AAA,2013J,F,South Region,HE Qualification,90-100%,35-55,0,60,Withdrawn,84,AAA,2014J
79,AAA,2014J,F,South Region,HE Qualification,90-100%,35-55,1,60,Distinction,84,AAA,2013J
80,AAA,2014J,F,South Region,HE Qualification,90-100%,35-55,1,60,Distinction,84,AAA,2014J
81,AAA,2013J,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Withdrawn,36,AAA,2013J
82,AAA,2013J,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Withdrawn,36,AAA,2014J
83,AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,Withdrawn,86,AAA,2013J
84,AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,Withdrawn,86,AAA,2014J
85,AAA,2014J,F,South East Region,A Level or Equivalent,20-30%,0-35,1,60,Pass,86,AAA,2013J
86,AAA,2014J,F,South East Region,A Level or Equivalent,20-30%,0-35,1,60,Pass,86,AAA,2014J
87,AAA,2013J,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,Withdrawn,75,AAA,2013J
88,AAA,2013J,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,Withdrawn,75,AAA,2014J
89,AAA,2014J,F,West Midlands Region,HE Qualification,70-80%,0-35,1,60,Pass,75,AAA,2013J
90,AAA,2014J,F,West Midlands Region,HE Qualification,70-80%,0-35,1,60,Pass,75,AAA,2014J
91,AAA,2013J,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,Withdrawn,75,AAA,2013J
92,AAA,2013J,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,Withdrawn,75,AAA,2014J
93,AAA,2014J,M,Scotland,A Level or Equivalent,0-10%,0-35,1,90,Pass,75,AAA,2013J
94,AAA,2014J,M,Scotland,A Level or Equivalent,0-10%,0-35,1,90,Pass,75,AAA,2014J
95,AAA,2013J,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,Withdrawn,67,AAA,2013J
96,AAA,2013J,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,Withdrawn,67,AAA,2014J
97,AAA,2014J,M,West Midlands Region,HE Qualification,0-10%,35-55,1,60,Fail,67,AAA,2013J
98,AAA,2014J,M,West Midlands Region,HE Qualification,0-10%,35-55,1,60,Fail,67,AAA,2014J
99,AAA,2013J,M,South West Region,HE Qualification,80-90%,0-35,0,120,Withdrawn,39,AAA,2013J
100,AAA,2013J,M,South West Region,HE Qualification,80-90%,0-35,0,120,Withdrawn,39,AAA,2014J
101,AAA,2013J,M,South East Region,HE Qualification,90-100%,35-55,0,60,Withdrawn,86,AAA,2013J
102,AAA,2013J,M,South East Region,HE Qualification,90-100%,35-55,0,60,Withdrawn,86,AAA,2014J
103,AAA,2013J,M,South East Region,HE Qualification,90-100%,35-55,0,60,Withdrawn,86,AAA,2013J
104,AAA,2013J,M,South East Region,HE Qualification,90-100%,35-55,0,60,Withdrawn,86,AAA,2014J
105,AAA,2014J,M,South East Region,HE Qualification,90-100%,35-55,1,60,Withdrawn,86,AAA,2013J
